At round 0, test loss is: 2.2157, metrics result is [0.19358043], train loss is 2.215932846069336
At round 1, test loss is: 2.1449, metrics result is [0.25457296], train loss is 2.143967390060425
At round 2, test loss is: 2.0777, metrics result is [0.31815237], train loss is 2.0760066509246826
At round 3, test loss is: 2.0120, metrics result is [0.37623656], train loss is 2.0091166496276855
At round 4, test loss is: 1.9471, metrics result is [0.424822], train loss is 1.943313479423523
At round 5, test loss is: 1.8814, metrics result is [0.473483], train loss is 1.8761379718780518
At round 6, test loss is: 1.8166, metrics result is [0.51546097], train loss is 1.8106369972229004
At round 7, test loss is: 1.7508, metrics result is [0.549049], train loss is 1.7434320449829102
At round 8, test loss is: 1.6874, metrics result is [0.57927907], train loss is 1.6783595085144043
At round 9, test loss is: 1.6244, metrics result is [0.6151261], train loss is 1.6139580011367798
At round 10, test loss is: 1.5630, metrics result is [0.6329172], train loss is 1.5509274005889893
At round 11, test loss is: 1.5014, metrics result is [0.66034776], train loss is 1.4884644746780396
At round 12, test loss is: 1.4416, metrics result is [0.684346], train loss is 1.427962064743042
At round 13, test loss is: 1.3858, metrics result is [0.7069938], train loss is 1.3709603548049927
At round 14, test loss is: 1.3309, metrics result is [0.7226149], train loss is 1.3152761459350586
At round 15, test loss is: 1.2786, metrics result is [0.73466104], train loss is 1.2618703842163086
At round 16, test loss is: 1.2283, metrics result is [0.7483393], train loss is 1.2108395099639893
At round 17, test loss is: 1.1807, metrics result is [0.7578156], train loss is 1.1627087593078613
At round 18, test loss is: 1.1361, metrics result is [0.76922494], train loss is 1.1169847249984741
At round 19, test loss is: 1.0932, metrics result is [0.7812178], train loss is 1.073172688484192
At round 20, test loss is: 1.0536, metrics result is [0.78518045], train loss is 1.0322245359420776
At round 21, test loss is: 1.0151, metrics result is [0.79916734], train loss is 0.9931244850158691
At round 22, test loss is: 0.9789, metrics result is [0.80842966], train loss is 0.9558864831924438
At round 23, test loss is: 0.9440, metrics result is [0.81433123], train loss is 0.921078622341156
At round 24, test loss is: 0.9116, metrics result is [0.81978005], train loss is 0.8882633447647095
