At round 1, test_loss is 2.3339, accuracy is 0.142876, max_norm is 0.1809, mean_norm is 0.0352
At round 2, test_loss is 2.2948, accuracy is 0.158292, max_norm is 0.1779, mean_norm is 0.0336
At round 3, test_loss is 2.2585, accuracy is 0.172976, max_norm is 0.1750, mean_norm is 0.0325
At round 4, test_loss is 2.2243, accuracy is 0.187401, max_norm is 0.1740, mean_norm is 0.0315
At round 5, test_loss is 2.1917, accuracy is 0.205042, max_norm is 0.1715, mean_norm is 0.0308
At round 6, test_loss is 2.1605, accuracy is 0.222220, max_norm is 0.1701, mean_norm is 0.0301
At round 7, test_loss is 2.1304, accuracy is 0.245050, max_norm is 0.1690, mean_norm is 0.0295
At round 8, test_loss is 2.1014, accuracy is 0.268483, max_norm is 0.1678, mean_norm is 0.0290
At round 9, test_loss is 2.0732, accuracy is 0.292342, max_norm is 0.1663, mean_norm is 0.0286
At round 10, test_loss is 2.0458, accuracy is 0.316667, max_norm is 0.1650, mean_norm is 0.0282
At round 11, test_loss is 2.0191, accuracy is 0.337242, max_norm is 0.1646, mean_norm is 0.0279
At round 12, test_loss is 1.9931, accuracy is 0.361472, max_norm is 0.1642, mean_norm is 0.0276
At round 13, test_loss is 1.9677, accuracy is 0.384406, max_norm is 0.1625, mean_norm is 0.0272
At round 14, test_loss is 1.9428, accuracy is 0.405536, max_norm is 0.1620, mean_norm is 0.0269
At round 15, test_loss is 1.9185, accuracy is 0.425472, max_norm is 0.1612, mean_norm is 0.0266
At round 16, test_loss is 1.8947, accuracy is 0.444826, max_norm is 0.1610, mean_norm is 0.0264
At round 17, test_loss is 1.8714, accuracy is 0.463849, max_norm is 0.1603, mean_norm is 0.0261
At round 18, test_loss is 1.8486, accuracy is 0.483453, max_norm is 0.1599, mean_norm is 0.0259
At round 19, test_loss is 1.8262, accuracy is 0.501032, max_norm is 0.1596, mean_norm is 0.0256
At round 20, test_loss is 1.8042, accuracy is 0.518141, max_norm is 0.1587, mean_norm is 0.0254
At round 21, test_loss is 1.7825, accuracy is 0.534438, max_norm is 0.1584, mean_norm is 0.0252
At round 22, test_loss is 1.7612, accuracy is 0.547053, max_norm is 0.1577, mean_norm is 0.0250
At round 23, test_loss is 1.7403, accuracy is 0.561945, max_norm is 0.1577, mean_norm is 0.0248
At round 24, test_loss is 1.7197, accuracy is 0.576025, max_norm is 0.1566, mean_norm is 0.0246
At round 25, test_loss is 1.6994, accuracy is 0.588740, max_norm is 0.1560, mean_norm is 0.0244
At round 26, test_loss is 1.6794, accuracy is 0.600999, max_norm is 0.1558, mean_norm is 0.0242
At round 27, test_loss is 1.6597, accuracy is 0.610987, max_norm is 0.1551, mean_norm is 0.0240
At round 28, test_loss is 1.6404, accuracy is 0.622327, max_norm is 0.1545, mean_norm is 0.0238
At round 29, test_loss is 1.6213, accuracy is 0.630064, max_norm is 0.1533, mean_norm is 0.0236
At round 30, test_loss is 1.6025, accuracy is 0.639139, max_norm is 0.1531, mean_norm is 0.0235
At round 31, test_loss is 1.5839, accuracy is 0.647769, max_norm is 0.1524, mean_norm is 0.0233
At round 32, test_loss is 1.5657, accuracy is 0.656568, max_norm is 0.1511, mean_norm is 0.0231
At round 33, test_loss is 1.5477, accuracy is 0.665153, max_norm is 0.1518, mean_norm is 0.0229
At round 34, test_loss is 1.5300, accuracy is 0.670053, max_norm is 0.1504, mean_norm is 0.0228
At round 35, test_loss is 1.5126, accuracy is 0.675732, max_norm is 0.1495, mean_norm is 0.0226
At round 36, test_loss is 1.4955, accuracy is 0.681197, max_norm is 0.1483, mean_norm is 0.0224
At round 37, test_loss is 1.4786, accuracy is 0.686900, max_norm is 0.1485, mean_norm is 0.0222
At round 38, test_loss is 1.4621, accuracy is 0.694035, max_norm is 0.1466, mean_norm is 0.0220
At round 39, test_loss is 1.4458, accuracy is 0.700678, max_norm is 0.1463, mean_norm is 0.0218
At round 40, test_loss is 1.4298, accuracy is 0.707822, max_norm is 0.1461, mean_norm is 0.0216
At round 41, test_loss is 1.4140, accuracy is 0.712171, max_norm is 0.1441, mean_norm is 0.0214
At round 42, test_loss is 1.3986, accuracy is 0.716383, max_norm is 0.1432, mean_norm is 0.0212
At round 43, test_loss is 1.3834, accuracy is 0.721788, max_norm is 0.1437, mean_norm is 0.0211
At round 44, test_loss is 1.3685, accuracy is 0.725659, max_norm is 0.1418, mean_norm is 0.0209
At round 45, test_loss is 1.3538, accuracy is 0.729795, max_norm is 0.1409, mean_norm is 0.0207
At round 46, test_loss is 1.3394, accuracy is 0.733206, max_norm is 0.1401, mean_norm is 0.0205
At round 47, test_loss is 1.3253, accuracy is 0.736332, max_norm is 0.1394, mean_norm is 0.0203
At round 48, test_loss is 1.3114, accuracy is 0.741824, max_norm is 0.1384, mean_norm is 0.0201
At round 49, test_loss is 1.2978, accuracy is 0.743966, max_norm is 0.1381, mean_norm is 0.0199
At round 50, test_loss is 1.2844, accuracy is 0.748414, max_norm is 0.1373, mean_norm is 0.0197
At round 51, test_loss is 1.2712, accuracy is 0.751938, max_norm is 0.1354, mean_norm is 0.0196
At round 52, test_loss is 1.2583, accuracy is 0.755390, max_norm is 0.1360, mean_norm is 0.0194
At round 53, test_loss is 1.2456, accuracy is 0.759038, max_norm is 0.1352, mean_norm is 0.0192
At round 54, test_loss is 1.2332, accuracy is 0.763088, max_norm is 0.1340, mean_norm is 0.0190
At round 55, test_loss is 1.2210, accuracy is 0.765826, max_norm is 0.1324, mean_norm is 0.0188
At round 56, test_loss is 1.2090, accuracy is 0.767337, max_norm is 0.1319, mean_norm is 0.0186
At round 57, test_loss is 1.1972, accuracy is 0.770797, max_norm is 0.1309, mean_norm is 0.0185
At round 58, test_loss is 1.1857, accuracy is 0.773046, max_norm is 0.1298, mean_norm is 0.0183
At round 59, test_loss is 1.1744, accuracy is 0.774745, max_norm is 0.1287, mean_norm is 0.0181
At round 60, test_loss is 1.1633, accuracy is 0.777196, max_norm is 0.1284, mean_norm is 0.0180
At round 61, test_loss is 1.1524, accuracy is 0.780231, max_norm is 0.1283, mean_norm is 0.0178
At round 62, test_loss is 1.1417, accuracy is 0.781652, max_norm is 0.1265, mean_norm is 0.0176
At round 63, test_loss is 1.1312, accuracy is 0.783682, max_norm is 0.1268, mean_norm is 0.0174
At round 64, test_loss is 1.1208, accuracy is 0.784780, max_norm is 0.1255, mean_norm is 0.0173
At round 65, test_loss is 1.1107, accuracy is 0.786494, max_norm is 0.1245, mean_norm is 0.0171
At round 66, test_loss is 1.1008, accuracy is 0.788542, max_norm is 0.1230, mean_norm is 0.0169
At round 67, test_loss is 1.0911, accuracy is 0.790262, max_norm is 0.1230, mean_norm is 0.0168
At round 68, test_loss is 1.0815, accuracy is 0.791377, max_norm is 0.1224, mean_norm is 0.0166
